Indeks;pierwsza;druga;trzecia;czwarta;Liczba
0;0.8947859690097838;0.29337269409499311;0.3399026565342218;0.35179366771257875;0
1;0.90073801942348253;0.002576790911114301;0.054933517123225563;0.055144821457736387;0
2;0.90122981623743248;0.0097480486354418368;0.063002350781758365;0.071430214813973283;0
3;0.91423157763436835;0.29170469881726163;0.34592015519312297;0.34497209061261869;0
4;0.90478085102713202;0.2913381886441278;0.3416005710097601;0.35124951230246676;0
5;0.90164307515713948;0.011593689150151429;0.062342258480144915;0.058703336046887704;0
6;0.90516045084930641;0.018061845726018169;0.069300341920098693;0.072707390570352873;0
7;0.91211853428926015;0.27901895894716044;0.33014525814946533;0.32124803670165558;0
8;0.89555825830317293;0.29742487544795732;0.3541535444395934;0.36391468272407573;0
9;0.90890783037461342;0.0078780987725141881;0.06341747965132831;0.055432793736627246;0
10;0.90363083186143156;0.014278937153315532;0.065121003976455399;0.054460419807904871;0
11;0.90615339422652097;0.28988523760063301;0.33999428407750526;0.33551575415579354;1
12;0.89546102091030066;0.28877074748232817;0.33827019030388594;0.35198440259859737;1
13;0.89662599967490453;0.027867862807210764;0.07921107619361524;0.070276455748546934;1
14;0.88018540048004468;-0.0037604691743475032;0.052725106335108012;0.05038392910672259;1
15;0.91246260506403887;0.27594850127223325;0.32199227674710079;0.32561249968172873;1
16;0.90562606836517534;0.29318756905856325;0.34462801983783997;0.35376085496837861;1
17;0.91708699107505898;0.022527285998689396;0.074801734416831842;0.068152192704261122;1
18;0.91614079644441748;0.0175906183605604;0.070160518857045412;0.06551556339753313;1
19;0.91965443223685861;0.28045134054216303;0.32833888658187721;0.33317457692740809;1
20;0.89997507987940795;0.29097354842085693;0.33930988242767374;0.33023501574288583;1
21;0.90881059298174116;0.015440176018193603;0.066166305949831958;0.072570884230359151;1
22;0.91390994625794486;0.018232011163544583;0.070783212161400322;0.083336185591233639;1
23;0.89467190206814518;0.27856082123074316;0.33331856306685353;0.32884377304486767;1
24;0.89386408372736048;0.2763505404927627;0.33234618913813119;0.34027103665721853;1
25;0.90152152841604916;0.0061053863024587759;0.06240770672534738;0.05285226292578709;1
26;0.89005499585657677;0.0045907269134873802;0.058439673116214903;0.050795318076566676;1
27;0.8943801898895285;0.26659875195759503;0.31966979901734466;0.32067583204359973;1
28;0.90096802325662262;0.29419734198454417;0.34712627285471132;0.33550266450675303;1
29;0.89730666142501025;-0.0030498882264349964;0.054239765724079403;0.06060133515775927;1
30;0.90478085102713202;0.018179652567382611;0.069586444249126619;0.075461826718445299;1
31;0.89718885458364583;0.28632485306161881;0.34060014783309384;0.33462004817145119;1
32;0.903541074268011;0.30628656784837144;0.35842637987638309;0.36543495196263592;1
33;0.91028598342359102;0.033487062145308347;0.084897593726778228;0.083416593435339526;1
34;0.89334423766546656;0.0067318195065395386;0.056594032601505313;0.056152724433854391;1
35;0.90604680708433405;0.28714015120185526;0.33386458842682842;0.34097413780567937;1
36;0.89182022852718057;0.28290658471218705;0.33039396148123468;0.32881572379692375;1
37;0.89445498788404554;0.024905862224333365;0.07218754450845899;0.080202149620966889;1
38;0.90270707662914529;0.018469494796136396;0.06986132687897699;0.068264389696036779;1
39;0.88763528073394848;0.26693534293292198;0.31587754069532736;0.31929580904475913;1
40;0.89306000528630158;0.28288788521355779;0.33548022510839792;0.3300199715086492;1
41;0.89191559597018988;0.012825986109820749;0.065422065904386748;0.06582223517505327;1
42;0.89133965141240812;0.005607979638920021;0.056143374684539754;0.053783497957525059;1
43;0.90236674575409248;0.28486442221867231;0.3325238343751093;0.32886247254349699;1
44;0.90076606867142639;0.29261910430023325;0.34499079011124795;0.35611325189594162;1
45;0.89881010111480408;0.0098752052261209186;0.056382728266994489;0.053929354046833418;1
46;0.90034159005254177;0.015774897043657653;0.066848837649800541;0.065835324824093766;1
47;0.90247520284614224;0.28368822375489078;0.3348855810519869;0.32753667809068127;1
48;0.8990045759005485;0.29295008542597145;0.34643626135529099;0.34979843120883491;1
49;0.90083525681635468;0.013257944528157036;0.062297379683434649;0.060326452527908907;1
50;0.89529646532236307;-0.000400169270666517;0.050172624772211766;0.042576888428999655;1
51;0.89352001295258177;0.28920831575025324;0.34339011302858186;0.33513615433361921;1
